PRC 1 person  Left=1433, Top=760, Right=1451, Bottom=806

PRC 1 person  Left=1667, Top=766, Right=1688, Bottom=803

PRC 1 person  Left=1624, Top=771, Right=1645, Bottom=828

PRC 1 person  Left=1695, Top=689, Right=1717, Bottom=724

PRC 2 person  Left=1626, Top=770, Right=1645, Bottom=825

PRC 2 person  Left=1434, Top=760, Right=1450, Bottom=804

PRC 2 person  Left=1665, Top=767, Right=1688, Bottom=803

PRC 2 person  Left=1696, Top=689, Right=1716, Bottom=723

PRC 3 person  Left=1626, Top=771, Right=1645, Bottom=825

PRC 3 person  Left=1664, Top=767, Right=1687, Bottom=805

PRC 3 person  Left=1433, Top=759, Right=1450, Bottom=805

PRC 3 person  Left=1697, Top=690, Right=1718, Bottom=723

PRC 4 person  Left=1626, Top=770, Right=1645, Bottom=824

PRC 4 person  Left=1434, Top=758, Right=1449, Bottom=806

PRC 4 person  Left=1666, Top=765, Right=1687, Bottom=804

PRC 4 person  Left=1697, Top=688, Right=1717, Bottom=724

PRC 5 person  Left=1626, Top=768, Right=1646, Bottom=825

PRC 5 person  Left=1434, Top=761, Right=1450, Bottom=805

PRC 5 person  Left=1664, Top=764, Right=1686, Bottom=805

PRC 6 person  Left=1434, Top=757, Right=1450, Bottom=805

PRC 6 person  Left=1625, Top=769, Right=1643, Bottom=824

PRC 6 person  Left=1665, Top=763, Right=1687, Bottom=807

PRC 6 person  Left=1696, Top=689, Right=1717, Bottom=724

PRC 7 person  Left=1625, Top=767, Right=1644, Bottom=825

PRC 7 person  Left=1434, Top=759, Right=1450, Bottom=805

PRC 7 person  Left=1666, Top=764, Right=1688, Bottom=805

PRC 7 person  Left=1697, Top=691, Right=1717, Bottom=722

PRC 8 person  Left=1625, Top=766, Right=1644, Bottom=825

PRC 8 person  Left=1434, Top=758, Right=1450, Bottom=804

PRC 8 person  Left=1666, Top=762, Right=1686, Bottom=803

PRC 8 person  Left=1696, Top=687, Right=1717, Bottom=724

PRC 9 person  Left=1625, Top=767, Right=1644, Bottom=824

PRC 9 person  Left=1435, Top=757, Right=1450, Bottom=804

PRC 9 person  Left=1665, Top=761, Right=1686, Bottom=804

PRC 10 person  Left=1624, Top=769, Right=1643, Bottom=823

