RAW 1 person  Left=1594, Top=533, Right=1654, Bottom=714

RAW 2 person  Left=1595, Top=535, Right=1665, Bottom=714

RAW 3 person  Left=1602, Top=538, Right=1671, Bottom=712

RAW 4 person  Left=1608, Top=539, Right=1680, Bottom=715

RAW 5 person  Left=1613, Top=537, Right=1684, Bottom=715

RAW 6 person  Left=1618, Top=544, Right=1691, Bottom=715

RAW 7 person  Left=1627, Top=543, Right=1695, Bottom=718

RAW 10 person  Left=1647, Top=543, Right=1716, Bottom=725

RAW 11 person  Left=1651, Top=531, Right=1726, Bottom=729

RAW 12 person  Left=1658, Top=536, Right=1732, Bottom=729

RAW 13 person  Left=1668, Top=550, Right=1742, Bottom=741

RAW 13 person  Left=655, Top=536, Right=689, Bottom=627

RAW 14 person  Left=1676, Top=550, Right=1751, Bottom=743

RAW 15 person  Left=1676, Top=550, Right=1754, Bottom=746

RAW 16 person  Left=1687, Top=550, Right=1767, Bottom=747

RAW 17 person  Left=1694, Top=546, Right=1775, Bottom=755

RAW 18 person  Left=1702, Top=548, Right=1786, Bottom=750

RAW 19 person  Left=1709, Top=547, Right=1793, Bottom=759

RAW 20 person  Left=1719, Top=553, Right=1802, Bottom=760

RAW 21 person  Left=1729, Top=566, Right=1802, Bottom=758

RAW 23 person  Left=1740, Top=556, Right=1828, Bottom=763

RAW 24 person  Left=1747, Top=558, Right=1841, Bottom=766

RAW 26 person  Left=1772, Top=561, Right=1855, Bottom=769

RAW 27 person  Left=1782, Top=561, Right=1865, Bottom=776

RAW 28 person  Left=1789, Top=567, Right=1878, Bottom=775

RAW 29 person  Left=1797, Top=567, Right=1889, Bottom=778

RAW 30 person  Left=1802, Top=565, Right=1904, Bottom=784

RAW 30 person  Left=625, Top=540, Right=670, Bottom=610

RAW 31 person  Left=1816, Top=566, Right=1907, Bottom=790

RAW 32 person  Left=1832, Top=563, Right=1916, Bottom=785

RAW 32 person  Left=623, Top=541, Right=661, Bottom=603

RAW 33 person  Left=1840, Top=554, Right=1916, Bottom=794

RAW 33 person  Left=617, Top=543, Right=660, Bottom=611

RAW 34 person  Left=615, Top=539, Right=658, Bottom=606

RAW 48 person  Left=579, Top=536, Right=624, Bottom=601

RAW 49 person  Left=576, Top=535, Right=623, Bottom=601

RAW 50 person  Left=572, Top=532, Right=619, Bottom=606

RAW 51 person  Left=572, Top=533, Right=615, Bottom=605

RAW 52 person  Left=570, Top=534, Right=611, Bottom=607

RAW 53 person  Left=568, Top=536, Right=606, Bottom=608

RAW 54 person  Left=568, Top=539, Right=602, Bottom=605

RAW 56 person  Left=560, Top=540, Right=593, Bottom=617

RAW 56 person  Left=529, Top=553, Right=560, Bottom=603

RAW 70 person  Left=1541, Top=550, Right=1572, Bottom=619

RAW 73 person  Left=1547, Top=538, Right=1580, Bottom=620

RAW 75 person  Left=491, Top=549, Right=535, Bottom=645

RAW 78 person  Left=1558, Top=531, Right=1597, Bottom=620

RAW 79 person  Left=1561, Top=532, Right=1598, Bottom=621

RAW 80 person  Left=1561, Top=529, Right=1598, Bottom=623

RAW 82 person  Left=1566, Top=530, Right=1601, Bottom=620

RAW 83 person  Left=1568, Top=531, Right=1603, Bottom=618

RAW 84 person  Left=1572, Top=531, Right=1605, Bottom=622

RAW 85 person  Left=1573, Top=533, Right=1606, Bottom=622

RAW 87 person  Left=1576, Top=532, Right=1614, Bottom=624

RAW 88 person  Left=1578, Top=537, Right=1619, Bottom=627

RAW 89 person  Left=1581, Top=538, Right=1622, Bottom=628

RAW 89 person  Left=455, Top=552, Right=489, Bottom=653

RAW 90 person  Left=1584, Top=537, Right=1625, Bottom=625

RAW 90 person  Left=446, Top=549, Right=485, Bottom=658

RAW 91 person  Left=1584, Top=534, Right=1628, Bottom=623

RAW 91 person  Left=439, Top=543, Right=482, Bottom=660

RAW 92 person  Left=426, Top=540, Right=472, Bottom=662

RAW 93 person  Left=421, Top=540, Right=467, Bottom=662

RAW 94 person  Left=412, Top=539, Right=462, Bottom=660

RAW 95 person  Left=398, Top=543, Right=454, Bottom=657

RAW 96 person  Left=389, Top=542, Right=450, Bottom=658

RAW 97 person  Left=378, Top=542, Right=443, Bottom=660

RAW 98 person  Left=372, Top=542, Right=440, Bottom=666

RAW 99 person  Left=361, Top=543, Right=428, Bottom=667

RAW 100 person  Left=351, Top=542, Right=419, Bottom=666

RAW 101 person  Left=347, Top=547, Right=416, Bottom=664

