RAW 1 person  Left=1591, Top=789, Right=1610, Bottom=827

RAW 1 person  Left=1400, Top=779, Right=1419, Bottom=820

RAW 2 person  Left=1401, Top=775, Right=1419, Bottom=820

RAW 2 person  Left=1590, Top=786, Right=1610, Bottom=830

RAW 3 person  Left=1590, Top=787, Right=1610, Bottom=831

RAW 3 person  Left=1400, Top=772, Right=1422, Bottom=822

RAW 4 person  Left=1589, Top=787, Right=1609, Bottom=833

RAW 4 person  Left=1401, Top=774, Right=1420, Bottom=821

RAW 5 person  Left=1591, Top=787, Right=1609, Bottom=828

RAW 5 person  Left=1400, Top=777, Right=1420, Bottom=820

RAW 5 person  Left=1631, Top=783, Right=1646, Bottom=815

RAW 6 person  Left=1593, Top=784, Right=1611, Bottom=826

RAW 6 person  Left=1399, Top=769, Right=1424, Bottom=807

RAW 6 person  Left=1631, Top=781, Right=1647, Bottom=819

RAW 7 person  Left=1590, Top=785, Right=1609, Bottom=829

RAW 7 person  Left=1400, Top=766, Right=1422, Bottom=811

RAW 8 person  Left=1589, Top=784, Right=1611, Bottom=833

RAW 28 person  Left=1398, Top=774, Right=1420, Bottom=824

RAW 29 person  Left=1399, Top=772, Right=1421, Bottom=824

RAW 32 person  Left=1589, Top=781, Right=1608, Bottom=821

RAW 38 person  Left=1399, Top=774, Right=1420, Bottom=822

RAW 40 person  Left=1399, Top=766, Right=1423, Bottom=813

RAW 44 person  Left=1595, Top=765, Right=1614, Bottom=806

RAW 44 person  Left=1398, Top=774, Right=1420, Bottom=823

RAW 45 person  Left=1596, Top=767, Right=1614, Bottom=805

RAW 49 person  Left=1595, Top=762, Right=1613, Bottom=807

RAW 51 person  Left=1397, Top=774, Right=1422, Bottom=824

RAW 52 person  Left=1398, Top=765, Right=1424, Bottom=814

RAW 53 person  Left=1398, Top=773, Right=1421, Bottom=824

RAW 54 person  Left=1398, Top=773, Right=1421, Bottom=823

RAW 55 person  Left=1399, Top=774, Right=1417, Bottom=823

RAW 56 person  Left=1399, Top=771, Right=1421, Bottom=824

RAW 57 person  Left=1398, Top=773, Right=1419, Bottom=824

RAW 58 person  Left=1594, Top=765, Right=1614, Bottom=804

RAW 58 person  Left=1399, Top=766, Right=1423, Bottom=813

RAW 59 person  Left=1594, Top=765, Right=1615, Bottom=804

RAW 59 person  Left=1398, Top=766, Right=1424, Bottom=813

RAW 60 person  Left=1399, Top=770, Right=1420, Bottom=825

RAW 63 person  Left=1596, Top=764, Right=1616, Bottom=809

RAW 64 person  Left=1595, Top=763, Right=1615, Bottom=807

RAW 64 person  Left=1399, Top=766, Right=1425, Bottom=813

RAW 65 person  Left=1593, Top=764, Right=1615, Bottom=808

RAW 65 person  Left=1399, Top=765, Right=1423, Bottom=812

RAW 66 person  Left=1399, Top=766, Right=1424, Bottom=812

RAW 66 person  Left=1595, Top=764, Right=1614, Bottom=804

RAW 67 person  Left=1596, Top=764, Right=1613, Bottom=807

RAW 67 person  Left=1398, Top=766, Right=1425, Bottom=812

RAW 68 person  Left=1595, Top=764, Right=1614, Bottom=807

RAW 69 person  Left=1596, Top=762, Right=1615, Bottom=809

RAW 69 person  Left=1398, Top=766, Right=1424, Bottom=813

RAW 70 person  Left=1597, Top=763, Right=1615, Bottom=807

RAW 70 person  Left=1397, Top=766, Right=1425, Bottom=812

RAW 71 person  Left=1597, Top=764, Right=1615, Bottom=806

RAW 71 person  Left=1398, Top=766, Right=1423, Bottom=812

RAW 72 person  Left=1598, Top=761, Right=1617, Bottom=808

RAW 72 person  Left=1636, Top=760, Right=1656, Bottom=803

RAW 72 person  Left=1399, Top=766, Right=1423, Bottom=812

RAW 73 person  Left=1597, Top=762, Right=1616, Bottom=809

RAW 73 person  Left=1398, Top=766, Right=1425, Bottom=813

RAW 74 person  Left=1599, Top=761, Right=1617, Bottom=809

RAW 74 person  Left=1399, Top=765, Right=1424, Bottom=814

RAW 75 person  Left=1598, Top=765, Right=1616, Bottom=804

RAW 75 person  Left=1397, Top=767, Right=1425, Bottom=812

RAW 76 person  Left=1599, Top=761, Right=1616, Bottom=807

RAW 76 person  Left=1399, Top=766, Right=1423, Bottom=812

RAW 77 person  Left=1599, Top=763, Right=1618, Bottom=809

RAW 78 person  Left=1600, Top=761, Right=1617, Bottom=807

RAW 79 person  Left=1598, Top=765, Right=1615, Bottom=806

RAW 80 person  Left=1600, Top=764, Right=1618, Bottom=804

RAW 81 person  Left=1599, Top=764, Right=1618, Bottom=806

RAW 82 person  Left=1599, Top=762, Right=1618, Bottom=808

RAW 83 person  Left=1599, Top=764, Right=1618, Bottom=807

RAW 83 person  Left=1637, Top=763, Right=1658, Bottom=800

RAW 84 person  Left=1599, Top=764, Right=1619, Bottom=806

RAW 84 person  Left=1398, Top=766, Right=1425, Bottom=814

RAW 85 person  Left=1599, Top=763, Right=1616, Bottom=803

RAW 85 person  Left=1639, Top=762, Right=1656, Bottom=799

RAW 85 person  Left=1399, Top=765, Right=1423, Bottom=813

RAW 86 person  Left=1599, Top=762, Right=1620, Bottom=805

RAW 86 person  Left=1398, Top=768, Right=1425, Bottom=811

RAW 87 person  Left=1598, Top=766, Right=1617, Bottom=804

RAW 88 person  Left=1600, Top=764, Right=1618, Bottom=804

RAW 89 person  Left=1598, Top=761, Right=1618, Bottom=803

RAW 89 person  Left=1398, Top=766, Right=1425, Bottom=814

RAW 90 person  Left=1600, Top=762, Right=1620, Bottom=804

RAW 91 person  Left=1599, Top=760, Right=1619, Bottom=804

RAW 91 person  Left=1399, Top=766, Right=1424, Bottom=813

RAW 92 person  Left=1600, Top=761, Right=1618, Bottom=801

RAW 92 person  Left=1399, Top=765, Right=1423, Bottom=814

RAW 93 person  Left=1598, Top=765, Right=1617, Bottom=798

RAW 93 person  Left=1398, Top=775, Right=1420, Bottom=823

RAW 94 person  Left=1601, Top=759, Right=1621, Bottom=803

RAW 94 person  Left=1399, Top=765, Right=1424, Bottom=813

RAW 95 person  Left=1600, Top=758, Right=1620, Bottom=803

RAW 96 person  Left=1602, Top=757, Right=1620, Bottom=800

RAW 96 person  Left=1398, Top=765, Right=1425, Bottom=814

RAW 97 person  Left=1602, Top=761, Right=1618, Bottom=801

RAW 98 person  Left=1600, Top=762, Right=1618, Bottom=803

RAW 98 person  Left=1398, Top=765, Right=1425, Bottom=815

RAW 99 person  Left=1601, Top=758, Right=1622, Bottom=807

RAW 100 person  Left=1602, Top=758, Right=1620, Bottom=804

RAW 102 person  Left=1601, Top=762, Right=1619, Bottom=805

RAW 102 person  Left=1398, Top=773, Right=1420, Bottom=823

RAW 103 person  Left=1601, Top=760, Right=1621, Bottom=808

RAW 103 person  Left=1398, Top=772, Right=1420, Bottom=824

RAW 104 person  Left=1602, Top=764, Right=1620, Bottom=806

RAW 104 person  Left=1398, Top=765, Right=1425, Bottom=814

RAW 105 person  Left=1600, Top=760, Right=1621, Bottom=806

RAW 106 person  Left=1600, Top=759, Right=1621, Bottom=806

RAW 107 person  Left=1600, Top=760, Right=1619, Bottom=802

RAW 107 person  Left=1639, Top=762, Right=1657, Bottom=798

RAW 107 person  Left=1398, Top=772, Right=1422, Bottom=824

RAW 108 person  Left=1600, Top=758, Right=1621, Bottom=806

