RAW 6 person  Left=452, Top=238, Right=474, Bottom=286

RAW 89 person  Left=458, Top=243, Right=485, Bottom=287

RAW 91 person  Left=451, Top=237, Right=474, Bottom=289

RAW 117 person  Left=452, Top=236, Right=473, Bottom=290

RAW 150 person  Left=458, Top=243, Right=483, Bottom=286

RAW 312 person  Left=458, Top=241, Right=483, Bottom=287

RAW 319 person  Left=458, Top=242, Right=486, Bottom=287

RAW 326 person  Left=457, Top=240, Right=487, Bottom=286

RAW 338 person  Left=458, Top=241, Right=483, Bottom=286

RAW 442 person  Left=450, Top=234, Right=470, Bottom=284

RAW 496 person  Left=451, Top=235, Right=470, Bottom=286

RAW 507 person  Left=450, Top=233, Right=474, Bottom=287

RAW 524 person  Left=451, Top=233, Right=474, Bottom=283

RAW 525 person  Left=451, Top=231, Right=477, Bottom=275

RAW 526 person  Left=450, Top=230, Right=474, Bottom=276

RAW 528 person  Left=450, Top=232, Right=473, Bottom=287

RAW 530 person  Left=451, Top=230, Right=473, Bottom=276

RAW 531 person  Left=451, Top=233, Right=472, Bottom=284

RAW 532 person  Left=450, Top=234, Right=472, Bottom=283

RAW 533 person  Left=449, Top=233, Right=472, Bottom=284

RAW 534 person  Left=450, Top=233, Right=472, Bottom=286

RAW 1216 person  Left=625, Top=238, Right=648, Bottom=290

RAW 1227 person  Left=214, Top=257, Right=226, Bottom=288

RAW 1485 person  Left=501, Top=292, Right=525, Bottom=337

RAW 1584 person  Left=414, Top=380, Right=463, Bottom=477

RAW 4341 person  Left=607, Top=223, Right=622, Bottom=253

RAW 4426 person  Left=361, Top=221, Right=386, Bottom=281

RAW 4431 person  Left=323, Top=221, Right=351, Bottom=282

RAW 4434 person  Left=305, Top=219, Right=331, Bottom=281

RAW 4439 person  Left=259, Top=218, Right=288, Bottom=282

RAW 4455 person  Left=100, Top=213, Right=140, Bottom=302

RAW 5264 person  Left=184, Top=258, Right=211, Bottom=299

